time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
27.014363,0.18646901,0.47303179,0.24318593,-0.69652891,-0.05671692,1.16956070,1.17093512
27.034323,0.19415522,0.47064019,0.13908171,-0.26451929,0.05507351,0.73515948,0.73721947
27.054232,0.20177245,0.46815243,0.16990073,-0.34908299,0.03187172,0.81723542,0.81785667
27.074175,0.20931799,0.46556939,0.29008992,-0.79386781,-0.08077193,1.25943720,1.26202463
27.094209,0.21678915,0.46289200,0.24073160,-0.59154209,-0.02394245,1.05443409,1.05470588
27.114244,0.22418330,0.46012121,0.16672051,-0.27708630,0.05746279,0.73720751,0.73944363
27.134159,0.23149779,0.45725800,0.28525513,-0.71013672,-0.05375734,1.16739472,1.16863180
27.154099,0.23873003,0.45430338,0.29090552,-0.72124603,-0.05217549,1.17554941,1.17670672
27.174883,0.24587746,0.45125841,0.20841019,-0.38323031,0.03746727,0.83448872,0.83532940
27.194868,0.25293752,0.44812417,0.29500105,-0.70313397,-0.04206353,1.15125814,1.15202632
27.214213,0.25990772,0.44490178,0.30125729,-0.70777476,-0.04134957,1.15267654,1.15341797
27.234366,0.26678557,0.44159237,0.22325518,-0.38081308,0.04353039,0.82240545,0.82355669
27.254181,0.27356863,0.43819712,0.31923839,-0.73243653,-0.04566976,1.17063365,1.17152416
27.274171,0.28025450,0.43471724,0.33079138,-0.75972227,-0.05053688,1.19443951,1.19550814
27.294267,0.28684080,0.43115397,0.24439714,-0.39829121,0.04244366,0.82944518,0.83053042
27.314701,0.29332518,0.42750857,0.31327853,-0.64030846,-0.01995335,1.06781703,1.06800344
27.334312,0.29970534,0.42378234,0.31213237,-0.59137005,-0.01242703,1.01515239,1.01522845
27.354378,0.30597902,0.41997660,0.24389717,-0.28135155,0.06208185,0.70132815,0.70407054
27.374437,0.31214399,0.41609271,0.36938327,-0.72883556,-0.05723928,1.14492827,1.14635818
27.394366,0.31819805,0.41213203,0.38539868,-0.77084921,-0.06720063,1.18298124,1.18488841
27.414358,0.32413906,0.40809599,0.29530753,-0.39386506,0.02883153,0.80196105,0.80247915
27.434232,0.32996491,0.40398601,0.35410255,-0.59486740,-0.02413764,0.99885341,0.99914502
27.454247,0.33567352,0.39980356,0.34646722,-0.51225656,-0.01079370,0.91206012,0.91212399
27.474283,0.34126286,0.39555012,0.27238777,-0.16857912,0.06887509,0.56412924,0.56831820
27.494331,0.34673096,0.39122720,0.41771693,-0.67748166,-0.07098597,1.06870886,1.07106379
27.514319,0.35207586,0.38683633,0.44601300,-0.76098566,-0.09393714,1.14782199,1.15165946
27.534292,0.35729568,0.38237909,0.34695738,-0.34150239,0.01033830,0.72388148,0.72395530
27.554628,0.36238855,0.37785705,0.38713925,-0.46096347,-0.02475070,0.83882052,0.83918559
27.574677,0.36735266,0.37327181,0.47354373,-0.76897626,-0.10619107,1.14224807,1.14717357
27.594344,0.37218626,0.36862501,0.40262625,-0.46507080,-0.03043999,0.83369581,0.83425134
27.614381,0.37688762,0.36391830,0.42816932,-0.55297295,-0.05128170,0.91689125,0.91832422
27.634334,0.38145507,0.35915336,0.50584334,-0.85366393,-0.12438827,1.21281729,1.21917933
27.654328,0.38588700,0.35433186,0.43989406,-0.59171019,-0.05400706,0.94604205,0.94758236
27.674421,0.39018182,0.34945553,0.42905178,-0.54953273,-0.03886996,0.89898826,0.89982818
27.694190,0.39433801,0.34452610,0.50961556,-0.86141487,-0.11527755,1.20594097,1.21143821
27.714302,0.39835409,0.33954532,0.44957100,-0.61797140,-0.05121691,0.95751672,0.95888552
27.734305,0.40222864,0.33451496,0.42103863,-0.49798088,-0.01880999,0.83249584,0.83270832
27.754366,0.40596028,0.32943681,0.49396901,-0.76353397,-0.08800873,1.09297078,1.09650840
27.774496,0.40954769,0.32431267,0.41994545,-0.44394694,-0.01039776,0.76825961,0.76832997
27.794345,0.41298958,0.31914437,0.44478856,-0.52202742,-0.03179898,0.84117179,0.84177263
27.814336,0.41628474,0.31393373,0.54138183,-0.89858878,-0.12509709,1.21252251,1.21895862
27.834262,0.41943200,0.30868261,0.49137508,-0.70722377,-0.07194308,1.01590638,1.01845057
27.854165,0.42243024,0.30339288,0.42132350,-0.42272323,0.00110674,0.72611611,0.72611696
27.874302,0.42527838,0.29806641,0.51995052,-0.79858598,-0.09467214,1.09665239,1.10073125
27.894194,0.42797543,0.29270510,0.51712423,-0.79205567,-0.08914880,1.08476077,1.08841786
27.914524,0.43052042,0.28731085,0.44176088,-0.49565396,-0.01124046,0.78296481,0.78304549
27.934456,0.43291245,0.28188558,0.52238880,-0.81283288,-0.08947635,1.09471846,1.09836903
27.954713,0.43515067,0.27643122,0.52547928,-0.82979371,-0.09032861,1.10622493,1.10990669
27.974324,0.43723428,0.27094970,0.44263938,-0.50206663,-0.00540510,0.77301633,0.77303522
27.994332,0.43916254,0.26544297,0.50191564,-0.73041203,-0.06275310,0.99585500,0.99783021
28.014095,0.44093477,0.25991299,0.49399773,-0.67819912,-0.05306296,0.93811211,0.93961163
28.034239,0.44255034,0.25436173,0.42111900,-0.37047251,0.02143134,0.62483424,0.62520168
28.054216,0.44400867,0.24879115,0.53171937,-0.78517969,-0.08771070,1.03397084,1.03768438
28.073775,0.44530925,0.24320323,0.54335919,-0.83684442,-0.09804994,1.08004765,1.08448915
28.094261,0.44645162,0.23759997,0.52926052,-0.77388520,-0.08280890,1.01148517,1.01486924
28.114199,0.44743536,0.23198335,0.52833480,-0.75037319,-0.08089944,0.98235654,0.98568204
28.134332,0.44826012,0.22635536,0.46433123,-0.46422223,-0.01607111,0.69057759,0.69076457
